# Generated 2021-01-31 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2021-01-31, "elf", "http://176.123.3.54/d/xd.mpsl", ec23e90c09d6f27a52976461af41f255, bf472ac991258fee4ecf122a1183791d05abf593, 6f55aa9d5a33f3eb6b4cc1c7c0f045aa548564b4b08f8dfd54520c98664361a2, 384:W83fpCLrsjHIX69URc+hmnulY1qHprFKt6zhS45vDajssVwfVTLa3dRWGVCz0Nvk:WsfpWcehzJFYKgULAssKf5La3rWh,"985489.bin.TMP", Linux executable (ELF), 31960 bytes, -, -
2021-01-31, "elf", "http://176.123.3.54/d/xd.ppc", 360245ba0746a342d27ebb3c47ef6431, d86f77992b78cbed6fd22ac567500c426f875920, 32b07ed553a4e1a0803bcfd779d2d2267fc125bdb7ef7d03fa9d30ecd324c652, 768:DUbgeS1f8Dnz+AHyRas6JAshPVl4uVcqgw09w:DUbfaAQGAiNl4u+qgw09w,"985487.bin.TMP", Linux executable (ELF), 28280 bytes, -, -
2021-01-31, "elf", "http://176.123.3.54/d/xd.sh4", 81a447926adfa4886997f56a1617ab40, 1d8a72453ea1b37e3d6bb81bbd97403ffa8e91e5, 7a59177e662b7497538ef28561ad22a2e24360e1dad1016f060a69c81bfda9c0, 1536:B/bivQhunGauwt4IduhosjT1RYeycfs3QtLok1cY3CJla:BjiBGFOdOT1Rhf+Kn1cY3T,"985484.bin.TMP", Linux executable (ELF), 64348 bytes, -, -
2021-01-31, "elf", "http://176.123.3.54/d/xd.x86", db9ab0de7c8c24ea88a662dc9ee5ffc7, c3f6dad05116e4a043906bc9508906dea617ab44, 91850291562dc8f18fe7502e72366ba2645e4ca818544033667bca0a7bcdc51b, 768:xN8f6tfoQmQAXV7E1QDvjnVAiSZd8H0GuOZk3JAZq+:jMJXFl7IQjU6uV0,"985486.bin.TMP", Linux executable (ELF), 29896 bytes, -, -
2021-01-31, "elf", "http://193.239.147.110/zbotarmv6", cb8fc3a3a8a06e3d849d66618c006de4, 700ad7bd01d0d2a167259bb0db63026713cd81eb, c9f28a9a357c69e32bb10de974cc322afe5e98d005003dcc58cd8beb7f2b6024, 3072:8Zbo+balt9umvnYWYQvEeu7RTmyJQ4+OazNt:QbHbaHdYWYQv8myJQ4+BzNt,"985404.bin.TMP", Linux executable (ELF), 102047 bytes, -, -
2021-01-31, "elf", "http://193.239.147.110/zboti586", 37cbaa3501d1c67d4ef0c2135e50d84a, 53f8408717aada06d544e5e08654e15136e391b6, 1c27013ce1ea96cbfa8ef635b89067537cbc2f2ee3a09521ee72790d2e068923, 3072:fjrMyLF+BObJGq7AdpMLnVSNCSTLsd/6H3+5+Ua5E4:fjrE6Iq7AQLENCSTLsd/6H3+5+Ua5E4,"985401.bin.TMP", Linux executable (ELF), 141768 bytes, -, -
2021-01-31, "elf", "http://193.239.147.110/zboti686", ab8b9bfaf86cb7dfbd280ce3e6390bb7, c4ffe4f41a2f8f026ce79effd467e1ea72c5e32c, 57c52c56e3c9d674831688c318f6dfdf0f8e5ad105c73c0871cd83b7a3e985f0, 3072:Qa5BfmO/zv1QVH0aBmU08YsjJ95rSTLsd/6H3+5+Ua5E4:QaJw/BmU0ojJ95rSTLsd/6H3+5+Ua5E4,"985407.bin.TMP", Linux executable (ELF), 141864 bytes, -, -
2021-01-31, "elf", "http://193.239.147.110/zbotmips", 8e8b93a1bc2143b87a52afe4a1d8e74f, 842ea18e1f619f19b0fa2cbb96291c211349b3ee, f61488f9561b17e2e33f7e950667f490e2a08dce90ef1a141464472aeadb0a48, 6144:1w+aCTAa8yl4SjKEWU8/l+kMLa0YZaVsaK0rSJ:DZTl/KEW1/l+kMLa0YZaVsaK0rSJ,"985403.bin.TMP", Linux executable (ELF), 219873 bytes, -, -
2021-01-31, "elf", "http://193.239.147.110/zbotmipsel", 382d267a0842e1f53790d82057cda53c, c20b2f6e1f6487c3bbf9bc1dbdd6a727148f8644, e6e78ee77ba373433fb149e45cf9168b4673bc3d835e096218e5f143922c055e, 6144:rCM0sdS/25wEt43M1J+vj1Er/e+kMLa0YZaVsaK0rSJ:mMO/2b432Jus/e+kMLa0YZaVsaK0rSJ,"985402.bin.TMP", Linux executable (ELF), 219934 bytes, -, -
2021-01-31, "elf", "http://193.239.147.110/zbotsh4", 8a842dc18b5bad8ecd1b15ae620258b8, f8b4cd7b4f61e433a5af4e95dde4e5e6493ec818, ff6f925b4efe39a15f41c53500d80d0aa07347211038045e7e6945b97a771829, 3072:xLNdcGwfW3/7d23WAs3Vd2ujHYJgMpU/5gl3qab/KkPDm+NaYEy:xLNdcGHR2GAQn2ujwbpU/5gl3qab/Kk3,"985406.bin.TMP", Linux executable (ELF), 146881 bytes, -, -
2021-01-31, "elf", "http://193.239.147.110/zbotx86", b3297153301a32ba89be3935263de787, 696a689e8fefc36b5273be2b566df718d0961aa7, c3fc0397887aaabb6d64701c65466f84c5654e59411e474811f6305b18a294ce, 3072:RRDPDC2fo/cqQSACMwf3fMMcMdQh11tiuyRTLBQV660+kaUaVKy:DFJSf3RG71tiuyRTLBQV660+kaUaVKy,"985405.bin.TMP", Linux executable (ELF), 178408 bytes, -, -
