# Generated 2020-12-27 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-12-26, "elf gafgyt", "http://158.69.0.77/fuckjewishpeople.sparc", 75fc030eb9c17374075ff52385650be9, eee366cb8b9728c69926ee05ff11db6c833ba517, 4939e501083b7455fd95ac26000aa72c94cec7a4e51a075703157e58173fbe5a, 1536:xfRuqNM5h7t/RiRt4nTphaQoRKzO6F6OXj6ufeRTe:OqN8jRiR4phaQoRKzO6F6OXGufcTe,"942564.bin.TMP", Linux executable (ELF), 102442 bytes, -, -
2020-12-26, "elf", "http://122.117.52.233:17707/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"942645.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-12-26, "elf", "http://154.26.123.125:48839/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"942287.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-12-26, "elf", "http://189.223.130.58:59690/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"942298.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-12-26, "exe opendir", "http://www.ukndesw19x.com/lqosko/p18j/cookie-parse.exe", 706ca89ed31bf43bdfcc0d3aca8c9af4, 012da89db7ff6a6ed7136a910b340faaab70b3f1, c0522052999f973d3bd24ac557945bb710291f019d4d8b8b76c87625a2f12389, 98304:MtEfGgb4e5c8lDDSfJ9dMvCRmwj1YJ39UqDWIsymoaTrTAdBMuJICql:MtEOgb4e5cbJ9KvC3OszCJE,"942378.bin.TMP", Windows executable (MZ), 16128584 bytes, nh:2e0b1609016bfc268a715e877ee2c834, -
2020-12-26, "exe opendir", "http://www.ukndesw19x.com/lqosko/p18j/curl.exe", d38a31ffbda8734d7299ade259b54bd4, f921c6b60f11adae030308525217f273f1088c62, c6a32c4d0abf7f8ef806b0db222f55612d5ee5c09b0d6ceb2b6b7ec3c277c557, 98304:mI2rBnQDWvrbqwjI0rawEmt82s2qzUGu1G+bbpuNTiBC7pu:/4QDWa2BPmB8C7g,"942373.bin.TMP", Windows executable (MZ), 4395640 bytes, nh:6fde16758c97ac3afb8887ab1b3d4e28, mh:059040e09f824e762ee56e27f02d3760
2020-12-26, "exe opendir", "http://www.ukndesw19x.com/lqosko/p18j/customer1.exe", 95844ba296e9b84a7766efe49718f53e, 90ba8160d34bcccf86d67a2645ee12b38b70271a, ca3ee4fd6ee1ac062b9120a3aebea22568bf1271c9894ec4914b9c29bbf1c853, 24576:Y2G/nvxW3WsTq868ykX4AsiTidF6zXyPo5E31fdJQF6iXyJo5oJqPf7MY:YbA3Db685+wQUEl7QwPUokPzMY,"942374.bin.TMP", Windows executable (MZ), 1010014 bytes, rh:0d2df983a574c5fed98d3c7df0bf9a83, -
2020-12-26, "exe opendir", "http://www.ukndesw19x.com/lqosko/p18j/customer2.exe", 5ebbfd6e3e0ee247008da0a709b25b6e, ac78a745528f3a2f3b482556b79c0ce7c757933b, ad581fb309576256ec7a088553b885a068180541d310513acdcd985e47c04731, 24576:Y2G/nvxW3WsTd868ykX4AsiTidF6zXyPo5E31fdJQF6iXyJo5oJqPf7M1:YbA3D+685+wQUEl7QwPUokPzM1,"942366.bin.TMP", Windows executable (MZ), 1010014 bytes, rh:0d2df983a574c5fed98d3c7df0bf9a83, -
2020-12-26, "exe opendir", "http://www.ukndesw19x.com/lqosko/p18j/customer3.exe", d6fccd67623dbf3578ce3af98df2116d, fb017a322ac31da7f90299593577441e33b64bc3, a408e65fa77a4eded318a05af68fe27f522ec61b0c3e30aa34a5703b06fe2cf8, 24576:Y2G/nvxW3WsTT868ykX4AsiTidF6zXyPo5E31fdJQF6iXyJo5oJqPf7M1:YbA3Dg685+wQUEl7QwPUokPzM1,"942368.bin.TMP", Windows executable (MZ), 1010014 bytes, rh:0d2df983a574c5fed98d3c7df0bf9a83, -
2020-12-26, "exe opendir", "http://www.ukndesw19x.com/lqosko/p18j/customer4.exe", 2d104ff2504fe2eac636b475faf66b60, 6d78028a90794d2d4d03b7a7c72f5e40c5d73fc5, 738901f8a3655c120265b51fedd5f53627ebfbff1382dedeca5e6ac3d025d36f, 24576:Y2G/nvxW3WsTu868ykX4AsiTidF6zXyPo5E31fdJQF6iXyJo5oJqPf7ME:YbA3DX685+wQUEl7QwPUokPzME,"942367.bin.TMP", Windows executable (MZ), 1010014 bytes, rh:0d2df983a574c5fed98d3c7df0bf9a83, -
2020-12-26, "exe opendir", "http://www.ukndesw19x.com/lqosko/p18j/customer5.exe", 1f732b2cf0610fb9ff78e71b11515d9d, d83815d750c67c45d31f39f5c70e563ee4fc6f3e, 048066b8f8dcf8a74e78e458a727edf50094a5849dbaae9cc80df053deae7c47, 24576:Y2G/nvxW3WsTr868ykX4AsiTidF6zXyPo5E31fdJQF6iXyJo5oJqPf7Mz:YbA3DY685+wQUEl7QwPUokPzMz,"942375.bin.TMP", Windows executable (MZ), 1010014 bytes, rh:0d2df983a574c5fed98d3c7df0bf9a83, -
