# Generated 2020-09-19 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-19, "DDoS Bot elf mirai", "http://45.95.168.96/cayo1", ebcc006150b72d4b54bc944864a1b18a, f25fbf08c2d49174b5c1ed90e7f2586b53f9e943, c0eeed72f26114b0a6327cdfc9f571e125e01b0e0af09a48edff3cd73182e567, 6144:hn/vZ3fw1ROpz1E6hVFZOYDdTTM45el44/6P:80pz1E6hVFrDdTTM45el44/6P,"569345.bin.TMP", Linux executable (ELF), 264585 bytes, -, -
2020-09-19, "DDoS Bot elf mirai", "http://45.95.168.96/cayo2", c70e28b650e72c1955640ebd186a34d5, 014b5433a8d8cfb002a72324a2aca5ac0e43070a, 95f34cd1c8b1a769f75587b63878afa8b5bbd74b9791c4e9b460c9627aaa2bef, 6144:UDSt/2KzTqz1E6hVe56pcDdTTM45el44/6P:UDCtTqz1E6hVe5PDdTTM45el44/6P,"569343.bin.TMP", Linux executable (ELF), 264409 bytes, -, -
2020-09-19, "DDoS Bot elf mirai", "http://45.95.168.96/cayo3", 4d41ddc905f1c786e42b9d351637095c, a522e5e43f34d570768375fca8df674537c6042f, 66ec24f225483d7b08f08fa314e8911658da5f166a1df8662014abf18522af65, 3072:FbwbUjfVU+jwXWDlnxlUVz1E6hV0oDAKO2UQVfaW97:Fbwb8drJ7UVz1E6hV0oDAKO2UQVfaW97,"569344.bin.TMP", Linux executable (ELF), 196649 bytes, -, -
2020-09-19, "doc emotet epoch1 heodo", "http://anteosystem.ru/8ps6w/Pages/t4qj5CTPuEnRk9x3aO/", 85a8fd8e3ba6e00482a7728bcaf5f21b, 6d97dff46ea26b3fada12bc0fccd0e8bf0adaac1, 1b92e7710017ee24f07eb3119de1f3556bc53d686201c428cf4538d133fa8fa7, 1536:2rdi1Ir77zOH98Wj2gpngh+a90Aul8oPhEPmRl6VOZ4x:2rfrzOH98ipgIAul8uWP+l6VOZ4x,"561156.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 200299 bytes, -, -
2020-09-19, "doc emotet epoch1 heodo", "http://belleraillesca.com/forum/73E9IStvFItXpJv/", 85a8fd8e3ba6e00482a7728bcaf5f21b, 6d97dff46ea26b3fada12bc0fccd0e8bf0adaac1, 1b92e7710017ee24f07eb3119de1f3556bc53d686201c428cf4538d133fa8fa7, 1536:2rdi1Ir77zOH98Wj2gpngh+a90Aul8oPhEPmRl6VOZ4x:2rfrzOH98ipgIAul8uWP+l6VOZ4x,"561286.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 200299 bytes, -, -
2020-09-19, "doc emotet epoch1 heodo", "http://bhar.com.br/caurina/5UZ5Mesyq1J/", 4114e8e97b15c53120c5b8c182f14544, 8993df8acf9983e679fde0dc86ad0e431af0edc9, b7b9257d8c50f28e5aa87090083acecd0359655c255d52dd1030c0375097e0e6, 1536:2rdi1Ir77zOH98Wj2gpngh+a9c8ul8oPhEPmRl6VO74L:2rfrzOH98ipgQ8ul8uWP+l6VO74L,"560777.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 199306 bytes, -, -
2020-09-19, "doc emotet epoch1 heodo", "http://pixnbeats.com/chanakua.org/public/xxdYeZfcOLM6/", 518354c878a606702c3b542ee15127e7, 5cc90fa19a731335e968c2ebadbdc3bbc3124b4b, df50fc4b87844f590011e4655d981e4aa7d498dec2d0940b554aea8538567352, 1536:2rdi1Ir77zOH98Wj2gpngh+a91Eul8oPhEPmRl6VO+47:2rfrzOH98ipgREul8uWP+l6VO+47,"561158.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 200382 bytes, -, -
2020-09-19, "doc emotet epoch1 heodo", "http://starrpromotions.co.uk/files/OCT/ZczT4XWIc22mkvnF///", 02e79e2c985cedae5a0de59ac2a6c4be, aa541e6aef43a2ba9b682e40908bcf3a075aa22b, 606c981a35630090fe7df6ea2bd78be7c01eb20f5d266ba2432b209e9bf26eb8, 1536:2rdi1Ir77zOH98Wj2gpngh+a95Iul8oPhEPmRl6VOo4B:2rfrzOH98ipgFIul8uWP+l6VOo4B,"562370.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 198863 bytes, -, -
2020-09-19, "doc emotet epoch1 heodo", "http://www.vanraaijschilderwerken.nl/cache/Overview/eplhFDW65SARd0oXO/", 5a1015632a64ea8805f78a7185ab6773, 4c17d21885ee16b8bb0bb082e726d3a775bb0e28, f0e6815411621dc6ccb4ca55c8c1ceba4ed59cc0f64b6884f0d93d49f9493bb5, 1536:2rdi1Ir77zOH98Wj2gpngh+a9FEul8oPhEPmRl6VO24L:2rfrzOH98ipgpEul8uWP+l6VO24L,"561155.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 200250 bytes, -, -
2020-09-19, "doc emotet epoch1 heodo", "https://kinesiolog.de/admin/sites/lKMyKXr9ku78VhyYpJ8/", 4114e8e97b15c53120c5b8c182f14544, 8993df8acf9983e679fde0dc86ad0e431af0edc9, b7b9257d8c50f28e5aa87090083acecd0359655c255d52dd1030c0375097e0e6, 1536:2rdi1Ir77zOH98Wj2gpngh+a9c8ul8oPhEPmRl6VO74L:2rfrzOH98ipgQ8ul8uWP+l6VO74L,"560655.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 199306 bytes, -, -
