# Generated 2020-09-23 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-23, " 2020-0-23 Dridex", "https://m-pcp2020.apps-ph.com/nzqheoy.txt", c8ec2aee1e6b3b1aa46f5c6dcf9c7110, 3edc2c3cbd1cd08b5e34b21433e5658e81f99f0d, 11d6703c422ba5ff6cbc0f40c5099a283dfd70fed43d1265366a4919201c6ce0, 6144:OaM65wVpzY9WKgRP2Ba6k0UwLBlZtR7ynoOyzzR42eAgA:OffY0P2BfxjhOQe67,"605953.bin.TMP", Windows executable (MZ), 327680 bytes, rh:cb8e9c5b7960715adb8791c540f12ccd, mh:3c9b1d98d3c934fb360d5cd8bd771a67
2020-09-23, "elf gafgyt", "http://51.89.1.122/yafsda.arm4", cbac26a39d6265a233208d36b2ea6dcd, fe9ae887a16b46f80acf472e6251970649494f44, f6b888a905b6fc0fec5359ce8293317e5e533aa60cb676bdd30691807655fdcd, 3072:a9DMjalFQEnohueZsBlXa6c/15hsHPzbJ04jl7HoDQHDVpZAlvm:wBlq6215hsLbD7HoDQHDVpZAlvm,"606219.bin.TMP", Linux executable (ELF), 109486 bytes, -, -
2020-09-23, "elf mirai", "http://107.173.141.130/beastmode/b3astmode.arm6", fbb7ae4fc17a59fad578fff6d6636f0e, 66862ce9cc72f4bdc1a1675a569f5ca60dda997b, 7deabeebfc9ab168028efde00ccf2f00cf536fe542b5be3dc2f94cdcd3fc2888, 1536:wAnUQLlk6j0uoEGzsWNJX8CJ/diMpCP4dujryRgHGNkDa50TKJov+u0TCBq5wjcl:RkjZEUGu/AMpCP4dujryRgHGNkDa50Tm,"604520.bin.TMP", Linux executable (ELF), 71004 bytes, -, -
2020-09-23, "elf mirai", "http://107.173.141.130/beastmode/b3astmode.arm7", 764ba700de6a2d1471af8d2ccb9358a5, ffd57a5423341972dfd0aa62ceba97393da8ea40, e06ef1e81358971121b5116a69c1c443d71342122ae0a33c5576757e4d53c36f, 3072:4qBryMGJXZMpCP4dujryRgHGNkDa50TKJov+uCdYxLKRMeLZ5a3G2fD+yM/9j7Qp:4qBryMwZMpCP4dujryRgHGNkDa50TKJy,"604530.bin.TMP", Linux executable (ELF), 131408 bytes, -, -
2020-09-23, "elf mirai", "http://107.173.141.130/beastmode/b3astmode.m68k", fb2954105d41894293fdd2bb62cb3ca5, 202c7e6fed11a657deac13aeffdf2d4fd7c9c619, f7cc164a4fd6dd267fcd9d862762f1a8895d4eac18accfb695fdb011d3a29d1b, 1536:VTGztEMecftyHN9WL04dAAN+yv8v+Od51aH8d7j:VaqWLdTAmk5cG,"604528.bin.TMP", Linux executable (ELF), 59876 bytes, -, -
2020-09-23, "elf mirai", "http://107.173.141.130/beastmode/b3astmode.mips", 786a4fa4373734d3f3be6cb517e69edb, fa0882693ae959be1d644f391895e7287f6d1f44, 0205a91660079c875951fa524dcddf1afb71e346ee60cbab877363ddd27aba4f, 1536:xbnlz+5rPCSsXkK2zuTIXW8IjdBKUNzTnKULHOwDR:xbl6xPCSsQcI/IBBKUNzj3LuW,"604522.bin.TMP", Linux executable (ELF), 75944 bytes, -, -
2020-09-23, "elf mirai", "http://107.173.141.130/beastmode/b3astmode.ppc", fa4e74cab4a575132c6cea325f170d7a, b99bd90eaaffb18f6942b56ca8fed7fe5c613840, cccc31aa4aa2eb776cef24b1100264aedbe4c964070c24918b8ca4e4ce2e86b5, 768:pG7NRw+S9vclpJeRZWKsdkln0cI/5LcQxYnpIshY9nWKhIRqMXV/8:0N+vUkFIBL+O9bhIQMXi,"604506.bin.TMP", Linux executable (ELF), 54864 bytes, -, -
2020-09-23, "elf mirai", "http://107.173.141.130/beastmode/b3astmode.sh4", 646956275c48e958fd30d6bf35b742c7, b7ba524bda6deba013b573cb21327934498a318a, 58c84690f92c1efb0e5f95b493f5ed1df45ca928bc4c09158a4d413eb72e9d22, 768:taUif8faeedmV/4/qK7q+e675EKFFBxEtpH7OFKFWLrClo85SGaMRC8sZV/:taUGSaHdW/gp7ZBFg574KFmF6LRC8sZ,"604518.bin.TMP", Linux executable (ELF), 54308 bytes, -, -
2020-09-23, "elf", "http://185.141.24.31/i686", 98aec5d56417234f9e16913da5e87a0c, 2298b41732c667267b25496273f16ec2ebfbd2fe, 1f273c756111d68bdb94e57135257684d6b90f0864be49bb9ad627101313246d, 768:8nNXnRCdskMaXaOfkj8rr+vuvM535GennkCnTnnnnnnnnnnnnn84n1dnfC/+S:gRCykMyvfkj8CuvM535GennkCnTnnnnC,"604545.bin.TMP", Linux executable (ELF), 27188 bytes, -, -
2020-09-23, "elf", "http://185.239.242.197/bins/dark.spc", 8ff48e5048c32c6c39d413501b196daa, 72f72f70ef0148388fb317465250658f5d806220, 7d18a4a45fe12d42310233b0991e0b1244def8f3889f7c34f8f93ebe39db39f5, 1536:ZX/svVQxVufuyLr5xfft/eLdSfqXsRCdl2Or8Uwfxy1pww4oFRjThNFQLF/LnJF/:ECMF2xACR9AdVq4rMXiytCjb,"604535.bin.TMP", Linux executable (ELF), 183236 bytes, -, -
2020-09-23, "elf", "http://185.239.242.92/nigga.mips", 56d4ec3827529ea11de3348e49107207, 1ed7323bf315cd0e826a7eed9c47ca4c5f9a8d8a, a97138ff9d64f0721bb72faa0602e94bd4a8d97d5e9c83a013deeeb2d0540cb9, 1536:YHhpP9CD5V1vyi5+n5UX89iLTeop3N+Spqgdt/h9q5V1fMDV:YH3QjhyheTeI3N1bdYvfg,"604529.bin.TMP", Linux executable (ELF), 67700 bytes, -, -
2020-09-23, "elf", "http://185.239.242.92/nigga.ppc", d6ca98519c1c8a55032d3c90b0e4a3ec, 19ff8f8a798edac05331359fff98aca8d718a66f, 6d54d1cdf92934bb237cfde54034959d160d0781c3a00bc9ecbf1fa6db49e6a5, 768:ygR1o6BtjtT630V3UHrdmiQ46kUMukRw7Fx61FWeZSmB1v0jvDAHW:zAU63Bn27FKWewmT0rDAHW,"604519.bin.TMP", Linux executable (ELF), 50272 bytes, -, -
2020-09-23, "elf", "http://185.239.242.92/nigga.sh4", aae395430f2635e57df96f081ac53b9a, 9da4d7048a6104bfc88a8cc5aeac3630cf6f15c9, fe1339d84ffb69edd2bdc453d7e4ad49bc7f176347fc904c49792e22b2263ae0, 768:czXr0wef/EFgxMvTCF1QjkkMIQi14k85CMoBuKACzACfB1v:cvJo/EmMm5lJk85QBfpzACfT,"604511.bin.TMP", Linux executable (ELF), 46140 bytes, -, -
2020-09-23, "elf", "http://185.239.242.92/nigga.spc", ab62a099a46bf5f401ed4f0aa6bab22e, d31581fc977cd1e9d8aca42ea22e69b73af9760a, 6cafb459eac58a09b4bfda1e24f76123e6a5b4dbcd10c2a3c507c2a543f0a56f, 768:coohDQxp7i6BoxY6Hp+7A2SISF1oMfHvOX2O+WptaJwSGor:coEDm5iSoxY6HpYA2Sv1oNUCOXr,"604517.bin.TMP", Linux executable (ELF), 54680 bytes, -, -
